Avg. Episode Return,Gravity,Seed,Name
-985.7775483333332,-1.0,0,Default
-659.9061449411764,-3.7648,0,Default
-435.3314442647059,-6.5296,0,Default
-346.7797654313726,-9.2944,0,Default
-278.49816559722217,-10.0,0,Default
-191.86426672727274,-10.0,0,Curriculum
-185.41433372093024,-10.0,0,Curriculum
-194.18267388888887,-10.0,0,Curriculum
-176.54112459756095,-10.0,0,Curriculum
-175.76444981000003,-10.0,0,Curriculum
-794.0758608181818,-1.0,1,Default
-556.4695362608697,-3.7648,1,Default
-415.7349628648648,-6.5296,1,Default
-325.5029202105263,-9.2944,1,Default
-266.5175965696202,-10.0,1,Default
-170.4385343181818,-10.0,1,Curriculum
-163.9294708837209,-10.0,1,Curriculum
-164.30565739062502,-10.0,1,Curriculum
-157.74782372941178,-10.0,1,Curriculum
-148.16156922000002,-10.0,1,Curriculum
